pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:40:45       0    1119772     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:40:45       1    1119773     C     46     37      -      -      -      -   2124      0    python         
 20260414    10:40:46       0    1119772     C     38     31      -      -      -      -   2124      0    python         
 20260414    10:40:46       1    1119773     C     42     33      -      -      -      -   2124      0    python         
 20260414    10:40:47       0    1119772     C     41     33      -      -      -      -   2124      0    python         
 20260414    10:40:47       1    1119773     C     41     32      -      -      -      -   2124      0    python         
 20260414    10:40:48       0    1119772     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:48       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:40:49       0    1119772     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:40:49       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:40:50       0    1119772     C     45     36      -      -      -      -   2124      0    python         
 20260414    10:40:50       1    1119773     C     44     35      -      -      -      -   2124      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:40:51       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:51       1    1119773     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:40:52       0    1119772     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:52       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:53       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:53       1    1119773     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:40:54       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:40:54       1    1119773     C     48     37      -      -      -      -   2124      0    python         
 20260414    10:40:55       0    1119772     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:40:55       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:40:56       0    1119772     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:40:56       1    1119773     C     42     34      -      -      -      -   2124      0    python         
 20260414    10:40:57       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:57       1    1119773     C     42     34      -      -      -      -   2124      0    python         
 20260414    10:40:58       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:40:58       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:00       0    1119772     C     47     36      -      -      -      -   2124      0    python         
